PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1631262,45,Jules Bernard,1612709928,CCG,23,618,114,247,0.462,36,104,0.346,56,73,0.767,19,85,104,55,14,3,48,31,345,323,1.15,0.29
1629690,46,Adam Mokoka,1612709889,OKL,24,763,127,265,0.479,34,102,0.333,34,52,0.654,34,114,148,44,24,4,38,47,344,370,1.16,0.63
1631254,47,Kenneth Lofton Jr.,1612709926,MHU,17,485,125,232,0.539,11,44,0.25,49,75,0.653,47,130,177,66,20,12,70,57,343,415,0.94,0.29
1628993,48,Alize Johnson,1612709927,WIS,22,653,138,228,0.605,8,31,0.258,33,49,0.673,62,206,268,86,11,7,64,63,341,543,1.34,0.17
1631199,48,Ron Harper Jr.,1612709920,RAP,20,673,124,251,0.494,44,120,0.367,32,42,0.762,26,79,105,62,17,28,33,54,341,383,1.88,0.52
1629665,50,Jalen Lecque,1612709908,RGV,19,616,105,257,0.409,18,75,0.24,72,93,0.774,18,59,77,110,28,20,52,41,340,350,2.12,0.54
1631123,50,Jamaree Bouyea,1612709904,SXF,18,636,133,254,0.524,20,64,0.313,31,44,0.705,10,84,94,108,22,16,36,27,340,410,3.0,0.61
1630531,52,Jaden Springer,1612709909,DEL,18,543,122,242,0.504,22,69,0.319,47,63,0.746,22,56,78,40,45,16,41,54,338,340,0.98,1.1
1630243,53,Trevelin Queen,1612709910,FWN,15,512,129,273,0.473,28,108,0.259,30,32,0.938,21,67,88,61,31,16,55,41,334,329,1.11,0.56
1630606,54,Javonte Smart,1612709913,BIR,23,711,122,285,0.428,54,150,0.36,21,22,0.955,17,49,66,80,24,0,45,32,333,294,1.78,0.53
1631220,55,Dereon Seabron,1612709913,BIR,18,592,120,237,0.506,13,33,0.394,49,62,0.79,10,65,75,72,20,4,52,38,330,319,1.39,0.39
1629751,56,Dakota Mathias,1612709926,MHU,22,663,116,255,0.455,66,163,0.405,19,22,0.864,12,81,93,52,18,8,21,40,329,337,2.48,0.86
204038,57,Langston Galloway,1612709929,CPS,21,674,111,231,0.481,61,135,0.452,29,36,0.806,23,47,70,46,34,6,19,40,328,338,2.42,1.79
1629717,58,Armoni Brooks,1612709929,CPS,21,572,114,252,0.452,68,169,0.402,20,25,0.8,8,100,108,38,15,7,16,25,326,335,2.38,0.94
1631245,58,Quenton Jackson,1612709928,CCG,21,548,109,203,0.537,21,55,0.382,54,71,0.761,24,50,74,73,33,4,51,41,326,348,1.43,0.65
1630287,60,Christian Vital,1612709903,SLC,23,560,112,250,0.448,60,155,0.387,25,28,0.893,26,78,104,70,16,7,31,51,325,350,2.26,0.52
1630199,61,Cassius Stanley,1612709908,RGV,19,566,127,217,0.585,22,62,0.355,33,52,0.635,36,53,89,49,15,5,51,36,324,322,0.96,0.29
1631289,62,Bryce Hamilton,1612709905,SBL,22,645,132,266,0.496,32,87,0.368,17,26,0.654,19,88,107,43,19,7,20,45,323,336,2.15,0.95
202702,62,Kenneth Faried,1612709931,MXC,22,668,129,235,0.549,4,16,0.25,37,64,0.578,113,153,266,36,25,47,49,76,323,515,0.73,0.51
1627739,62,Kris Dunn,1612709928,CCG,20,590,121,233,0.519,21,51,0.412,37,49,0.755,17,91,108,103,52,10,43,56,323,429,2.4,1.21
